"CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","COLLISION_ID","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5"
2024-02-08,18:40:00,NA,NA,NA,NA,NA,"WEST 232 STREET","HUDSON PARKWAY",NA,1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4701343,"Sedan",NA,NA,NA,NA
2024-02-07,16:57:00,NA,NA,40.62643,-73.972305,"(40.62643, -73.972305)","EAST 5 STREET",NA,NA,0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",NA,NA,NA,4701011,"Station Wagon/Sport Utility Vehicle","Sedan",NA,NA,NA
2024-02-08,09:14:00,"BROOKLYN",11229,40.595543,-73.94095,"(40.595543, -73.94095)",NA,NA,"3573      NOSTRAND AVENUE",0,0,0,0,0,0,0,0,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4701118,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-05,15:28:00,NA,NA,40.81782,-73.89264,"(40.81782, -73.89264)","BRUCKNER EXPRESSWAY",NA,NA,1,0,0,0,0,0,1,0,"Other Vehicular",NA,NA,NA,NA,4701333,"Sedan",NA,NA,NA,NA
2024-02-08,19:20:00,"BROOKLYN",11223,40.59783,-73.96549,"(40.59783, -73.96549)","AVENUE U","OCEAN PARKWAY",NA,0,0,0,0,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4701250,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-09,21:30:00,"BROOKLYN",11233,40.6845,-73.92639,"(40.6845, -73.92639)","HALSEY STREET","PATCHEN AVENUE",NA,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701663,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-04,20:55:00,NA,NA,40.699295,-73.9543,"(40.699295, -73.9543)","FLUSHING AVENUE",NA,NA,1,0,1,0,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4701311,"Sedan",NA,NA,NA,NA
2024-02-07,14:20:00,"QUEENS",11691,40.602196,-73.75771,"(40.602196, -73.75771)","CORNAGA AVENUE","GRASSMERE TERRACE",NA,1,0,0,0,1,0,0,0,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,4700961,"Pick-up Truck","Bike",NA,NA,NA
2024-02-07,16:20:00,NA,NA,40.77242,-73.97873,"(40.77242, -73.97873)","TRANSVERSE ROAD NUMBER ONE",NA,NA,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701477,"Station Wagon/Sport Utility Vehicle","Bus",NA,NA,NA
2024-02-05,18:40:00,"BROOKLYN",11206,40.707367,-73.93497,"(40.707367, -73.93497)",NA,NA,"338       JOHNSON AVENUE",0,0,0,0,0,0,0,0,"Other Vehicular","Passing Too Closely",NA,NA,NA,4701838,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-07,16:25:00,"MANHATTAN",10029,40.792294,-73.941216,"(40.792294, -73.941216)",NA,NA,"2112      2 AVENUE",1,0,0,0,1,0,0,0,"Backing Unsafely","Unspecified",NA,NA,NA,4701025,"Station Wagon/Sport Utility Vehicle","E-Bike",NA,NA,NA
2024-02-09,16:23:00,"QUEENS",11428,40.71957,-73.75394,"(40.71957, -73.75394)","90 AVENUE","210 STREET",NA,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",NA,NA,NA,4701451,"Sedan","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-07,02:00:00,"BRONX",10453,40.857487,-73.91692,"(40.857487, -73.91692)",NA,NA,"1981      CEDAR AVENUE",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",NA,NA,NA,4700902,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-02-07,08:08:00,"MANHATTAN",10036,40.75734,-73.98602,"(40.75734, -73.98602)","7 AVENUE","WEST 44 STREET",NA,1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4701530,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-09,01:50:00,"BRONX",10469,40.86366,-73.852936,"(40.86366, -73.852936)",NA,NA,"2540      TENBROECK AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701439,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-07,20:14:00,"MANHATTAN",10128,40.78519,-73.94934,"(40.78519, -73.94934)","EAST 96 STREET","3 AVENUE",NA,1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",NA,NA,NA,4701005,"Station Wagon/Sport Utility Vehicle","Bike",NA,NA,NA
2024-02-08,18:10:00,"STATEN ISLAND",10312,40.53219,-74.18984,"(40.53219, -74.18984)",NA,NA,"23        KINGDOM AVENUE",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",NA,NA,NA,4701700,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
